,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
352,vizgen_merfish_human_ovarian_cancer,05072023_210741_6,0.9726520391036997,8.565839100574399,0.0,30.0,8,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
353,vizgen_merfish_human_ovarian_cancer,05072023_210741_1,0.5000537694928429,14.959560805998327,0.0,0.0,4,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
354,vizgen_merfish_human_ovarian_cancer,05072023_210741_2,0.5009188184711474,14.450029894332362,0.0,0.0,8,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
355,vizgen_merfish_human_ovarian_cancer,05072023_210741_4,0.5,13.855447905519704,0.0,0.0,16,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
356,vizgen_merfish_human_ovarian_cancer,05072023_210741_3,0.5,13.8515730479226,0.0,0.0,12,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
357,vizgen_merfish_human_ovarian_cancer,05072023_134355_36,0.9989632470384676,8.489371912063529,500000.0,300.0,16,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
358,vizgen_merfish_human_ovarian_cancer,05072023_134355_35,0.9984288310159961,8.739317314923852,500000.0,300.0,12,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
359,vizgen_merfish_human_ovarian_cancer,05072023_134231_34,0.997188722193055,8.373610358200567,500000.0,300.0,8,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
360,vizgen_merfish_human_ovarian_cancer,05072023_120816_33,0.9898611368757868,8.452820708855482,500000.0,300.0,4,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
361,vizgen_merfish_human_ovarian_cancer,05072023_110510_32,0.9989485789484063,8.985151132366706,500000.0,30.0,16,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
362,vizgen_merfish_human_ovarian_cancer,05072023_100348_31,0.9987025787196554,8.971588601194048,500000.0,30.0,12,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
363,vizgen_merfish_human_ovarian_cancer,05072023_092012_30,0.997731875540742,8.982126333748129,500000.0,30.0,8,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
364,vizgen_merfish_human_ovarian_cancer,05072023_085746_29,0.9921833473857902,9.389873756636895,500000.0,30.0,4,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
365,vizgen_merfish_human_ovarian_cancer,05072023_084518_28,0.9988882345145108,13.902033801776376,500000.0,0.0,16,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
366,vizgen_merfish_human_ovarian_cancer,05072023_072031_27,0.9986141130405697,14.206340413259024,500000.0,0.0,12,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
367,vizgen_merfish_human_ovarian_cancer,05072023_065932_25,0.99144908427008,14.83406952629086,500000.0,0.0,4,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
368,vizgen_merfish_human_ovarian_cancer,05072023_065932_26,0.997453588576958,14.341884294787222,500000.0,0.0,8,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
369,vizgen_merfish_human_ovarian_cancer,05072023_063853_24,0.9983327585638188,8.350085767563993,50000.0,300.0,16,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
370,vizgen_merfish_human_ovarian_cancer,05072023_051732_23,0.9976483265759514,8.565992839335022,50000.0,300.0,12,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
371,vizgen_merfish_human_ovarian_cancer,05072023_043615_22,0.9959555878562412,8.493174742474045,50000.0,300.0,8,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
372,vizgen_merfish_human_ovarian_cancer,05072023_035311_21,0.983395820654907,8.781369352469413,50000.0,300.0,4,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
373,vizgen_merfish_human_ovarian_cancer,05072023_034720_20,0.9990977064411045,8.921520552125173,50000.0,30.0,16,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
374,vizgen_merfish_human_ovarian_cancer,05072023_033005_18,0.9971969898450377,8.59030631023519,50000.0,30.0,8,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
375,vizgen_merfish_human_ovarian_cancer,05072023_033005_19,0.9986874284670749,8.417039178750368,50000.0,30.0,12,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
376,vizgen_merfish_human_ovarian_cancer,05072023_022343_17,0.9908998256961347,8.864430955895491,50000.0,30.0,4,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
377,vizgen_merfish_human_ovarian_cancer,05072023_005317_16,0.9989867619343883,13.783235593523544,50000.0,0.0,16,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
378,vizgen_merfish_human_ovarian_cancer,05072023_003829_15,0.998473920612495,13.87416625517191,50000.0,0.0,12,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
379,vizgen_merfish_human_ovarian_cancer,05072023_001358_14,0.9965855055558179,14.046766161899983,50000.0,0.0,8,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
380,vizgen_merfish_human_ovarian_cancer,04072023_232533_13,0.9854392191258545,14.617450488707963,50000.0,0.0,4,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
381,vizgen_merfish_human_ovarian_cancer,04072023_223556_12,0.9833798628320432,8.207089120958717,0.0,300.0,16,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
382,vizgen_merfish_human_ovarian_cancer,04072023_223556_11,0.9902186131249454,8.278741575089123,0.0,300.0,12,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
383,vizgen_merfish_human_ovarian_cancer,04072023_222018_10,0.9833034380201483,8.27800275085142,0.0,300.0,8,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
384,vizgen_merfish_human_ovarian_cancer,04072023_221935_9,0.9259553900788811,8.478520560654298,0.0,300.0,4,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
385,vizgen_merfish_human_ovarian_cancer,04072023_220514_8,0.9738502386052215,8.656978314376822,0.0,30.0,16,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
386,vizgen_merfish_human_ovarian_cancer,04072023_220132_7,0.9724197209936036,8.490480826234098,0.0,30.0,12,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
387,vizgen_merfish_human_ovarian_cancer,04072023_204832_6,0.9728155043189537,8.556256641109298,0.0,30.0,8,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
388,vizgen_merfish_human_ovarian_cancer,04072023_195051_5,0.942088419721457,8.60463181729988,0.0,30.0,4,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
