,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
213,starmap_plus_mouse_cns,01072023_143216_3,0.5240290383654416,0.9001670822335468,0.0,0.0,12,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
214,starmap_plus_mouse_cns,01072023_142146_2,0.5287745509156913,0.9626889866074696,0.0,0.0,8,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
215,starmap_plus_mouse_cns,01072023_141752_1,0.5501483189181804,0.9741852724682843,0.0,0.0,4,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
216,starmap_plus_mouse_cns,30062023_122333_36,0.9982608752326162,0.6460756455996282,500000.0,300.0,16,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
217,starmap_plus_mouse_cns,30062023_121738_35,0.9976379943251179,0.6454640263735881,500000.0,300.0,12,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
218,starmap_plus_mouse_cns,30062023_121610_34,0.9962168827663631,0.6188339825018029,500000.0,300.0,8,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
219,starmap_plus_mouse_cns,30062023_120835_33,0.9885339455898633,0.6673686337857823,500000.0,300.0,4,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
220,starmap_plus_mouse_cns,30062023_120135_32,0.9983665312587173,0.6584632323010524,500000.0,30.0,16,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
221,starmap_plus_mouse_cns,30062023_115539_31,0.9965117288135354,0.6966876411642411,500000.0,30.0,12,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
222,starmap_plus_mouse_cns,30062023_114642_30,0.994100230638355,0.7330314478001245,500000.0,30.0,8,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
223,starmap_plus_mouse_cns,30062023_112602_29,0.9905480585178694,0.67045143021308,500000.0,30.0,4,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
